Stocks
AA UN Equity
ABT UN Equity
ADBE UW Equity
ADM UN Equity
AEE UN Equity
AEP UN Equity
AFL UN Equity
AIG UN Equity
ALL UN Equity
AON UN Equity
APA UN Equity
APD UN Equity
ATI UN Equity
AVY UN Equity
AXP UN Equity
BA UN Equity
BAC UN Equity
BAX UN Equity
BDX UN Equity
BEN UN Equity
BK UN Equity
BLL UN Equity
BMY UN Equity
BXP UN Equity
C UN Equity
CAG UN Equity
CAH UN Equity
CAT UN Equity
CCEP UN Equity
CCL UN Equity
CI UN Equity
CINF UW Equity
CL UN Equity
CLX UN Equity
CMA UN Equity
CMI UN Equity
CMS UN Equity
CNP UN Equity
CNX UN Equity
COF UN Equity
CPB UN Equity
CTAS UW Equity
CTL UN Equity
D UN Equity
DE UN Equity
DHI UN Equity
DHR UN Equity
DIS UN Equity
DO UN Equity
DOV UN Equity
DTE UN Equity
DUK UN Equity
ECL UN Equity
ED UN Equity
EFX UN Equity
EIX UN Equity
EL UN Equity
EMN UN Equity
EMR UN Equity
EOG UN Equity
EQR UN Equity
EQT UN Equity
ES UN Equity
ETN UN Equity
ETR UN Equity
F UN Equity
FAST UW Equity
FE UN Equity
FHN UN Equity
FITB UW Equity
GD UN Equity
GE UN Equity
GIS UN Equity
GL UN Equity
GLW UN Equity
GPC UN Equity
GPS UN Equity
GS UN Equity
GWW UN Equity
HAL UN Equity
HBAN UW Equity
HD UN Equity
HES UN Equity
HIG UN Equity
HOG UN Equity
HON UN Equity
HP UN Equity
HPQ UN Equity
HRB UN Equity
HRL UN Equity
HSY UN Equity
IBM UN Equity
IFF UN Equity
IP UN Equity
IPG UN Equity
IR UN Equity
ITW UN Equity
JCI UN Equity
JCP UN Equity
JNJ UN Equity
JPM UN Equity
JWN UN Equity
K UN Equity
KEY UN Equity
KMB UN Equity
KO UN Equity
L UN Equity
LEG UN Equity
LEN UN Equity
LHX UN Equity
LLY UN Equity
LM UN Equity
LMT UN Equity
LNC UN Equity
LOW UN Equity
LUV UN Equity
MAS UN Equity
MCD UN Equity
MDT UN Equity
MKC UN Equity
MMC UN Equity
MMM UN Equity
MO UN Equity
MRK UN Equity
MRO UN Equity
MS UN Equity
MSI UN Equity
MUR UN Equity
NBL UN Equity
NEE UN Equity
NEM UN Equity
NI UN Equity
NKE UN Equity
NOC UN Equity
NSC UN Equity
NTRS UW Equity
NUE UN Equity
OKE UN Equity
OMC UN Equity
OXY UN Equity
PAYX UW Equity
PBI UN Equity
PCAR UW Equity
PCG UN Equity
PEG UN Equity
PFE UN Equity
PG UN Equity
PGR UN Equity
PH UN Equity
PHM UN Equity
PKI UN Equity
PNC UN Equity
PNR UN Equity
PPG UN Equity
PSA UN Equity
R UN Equity
ROK UN Equity
ROST UW Equity
SCHW UN Equity
SHW UN Equity
SLB UN Equity
SNA UN Equity
SO UN Equity
SPG UN Equity
SPGI UN Equity
SRE UN Equity
STT UN Equity
SWK UN Equity
SYK UN Equity
SYY UN Equity
T UN Equity
TAP UN Equity
TFC UN Equity
TGNA UN Equity
TIF UN Equity
TJX UN Equity
TROW UW Equity
TRV UN Equity
TSN UN Equity
TXT UN Equity
UNH UN Equity
UNM UN Equity
UNP UN Equity
UTX UN Equity
VAL UN Equity
VFC UN Equity
VLO UN Equity
VMC UN Equity
WELL UN Equity
WFC UN Equity
WHR UN Equity
WM UN Equity
WMB UN Equity
WMT UN Equity
WY UN Equity
X UN Equity
XOM UN Equity
XRAY UW Equity
XRX UN Equity
ZION UW Equity
PVH UN Equity
KSU UN Equity
RCL UN Equity
COO UN Equity
DRE UN Equity
MGM UN Equity
JKHY UW Equity
